,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Cluster
0,39.1,18.7,181,3750,Male,1
1,39.5,17.4,186,3800,Female,1
2,40.3,18,195,3250,Female,1
3,36.7,19.3,193,3450,Female,1
4,39.3,20.6,190,3650,Male,1
5,38.9,17.8,181,3625,Female,1
6,39.2,19.6,195,4675,Male,1
7,34.1,18.1,193,3475,Male,1
8,42,20.2,249.375,4250,Male,0
9,37.8,17.1,186,3300,Male,1
10,37.8,17.3,180,3700,Male,1
11,41.1,17.6,182,3200,Female,1
12,38.6,21.2,191,3800,Male,1
13,34.6,21.1,154.375,4400,Male,1
14,36.6,17.8,185,3700,Female,1
15,38.7,19,195,3450,Female,1
16,42.5,20.7,197,4500,Male,1
17,34.4,18.4,184,3325,Female,1
18,46,21.5,194,4200,Male,0
19,37.8,18.3,174,3400,Female,1
20,37.7,18.7,180,3600,Male,1
21,35.9,19.2,189,3800,Female,1
22,38.2,18.1,185,3950,Male,1
23,38.8,17.2,180,3800,Male,1
24,35.3,18.9,187,3800,Female,1
25,40.6,18.6,183,3550,Male,1
26,40.5,17.9,187,3200,Female,1
27,37.9,18.6,172,3150,Female,1
28,40.5,18.9,180,3950,Male,1
29,39.5,16.7,178,3250,Female,1
30,37.2,18.1,178,3900,Male,1
31,39.5,17.8,188,3300,Female,1
32,40.9,18.9,184,3900,Male,1
33,36.4,17,195,3325,Female,1
34,39.2,21.1,196,4150,Male,1
35,38.8,20,190,3950,Male,1
36,42.2,18.5,180,3550,Female,1
37,37.6,19.3,181,3300,Female,1
38,39.8,19.1,184,4650,Male,1
39,36.5,18,182,3150,Female,1
40,40.8,18.4,195,3900,Male,1
41,36,18.5,186,3100,Female,1
42,44.1,19.7,196,4400,Male,1
43,37,16.9,185,3000,Female,1
44,39.6,18.8,190,4600,Male,1
45,41.1,19,182,3425,Male,1
46,37.5,18.9,179,2975,Male,1
47,36,17.9,190,3450,Female,1
48,42.3,21.2,191,4150,Male,1
49,39.6,17.7,186,3500,Female,1
50,40.1,18.9,188,4300,Male,1
51,35,17.9,190,3450,Female,1
52,42,19.5,200,4050,Male,1
53,34.5,18.1,187,2900,Female,1
54,41.4,18.6,191,3700,Male,1
55,39,17.5,186,3550,Female,1
56,40.6,18.8,193,3800,Male,1
57,36.5,16.6,181,2850,Female,1
58,37.6,19.1,194,3750,Male,1
59,35.7,16.9,185,3150,Female,1
60,41.3,21.1,195,4400,Male,1
61,37.6,17,185,3600,Female,1
62,41.1,18.2,192,4050,Male,1
63,36.4,17.1,184,2850,Female,1
64,41.6,18,192,3950,Male,1
65,35.5,16.2,195,3350,Female,1
66,41.1,19.1,188,4100,Male,1
67,35.9,16.6,190,3050,Female,1
68,41.8,19.4,198,4450,Male,1
69,33.5,19,190,3600,Female,1
70,39.7,18.4,190,3900,Male,1
